YM;FUNC_ID;COUNTRY_CD;LOCAL_AMT
2017-01-01;1;1000;6888
2017-01-02;1;1000;6513
2017-01-03;1;1000;7815
2017-01-04;1;1000;4567
2017-01-05;1;1000;3339
2017-01-06;1;1000;8440
2017-01-07;1;1000;5277
2017-01-08;1;1000;2069
2017-01-09;1;1000;8890
2017-01-10;1;1000;2049
2017-01-11;1;1000;8462
2017-01-12;1;1000;3472
2017-01-13;1;1000;5513
2017-01-14;1;1000;2404
2017-01-15;1;1000;4296
2017-01-16;1;1000;2198
2017-01-17;1;1000;5931
2017-01-18;1;1000;7390
2017-01-19;1;1000;8729
2017-01-20;1;1000;3134
2017-01-21;1;1000;4083
2017-01-22;1;1000;5126
2017-01-23;1;1000;3896
2017-01-24;1;1000;4765
2017-01-25;1;1000;4142
2017-01-26;1;1000;8913
2017-01-27;1;1000;8174
2017-01-28;1;1000;7405
2017-01-29;1;1000;5885
2017-01-30;1;1000;9306
2017-01-01;2;1000;4062
2017-01-02;2;1000;9320
2017-01-03;2;1000;9012
2017-01-04;2;1000;3892
2017-01-05;2;1000;4219
2017-01-06;2;1000;9849
2017-01-07;2;1000;3268
2017-01-08;2;1000;4235
2017-01-09;2;1000;8664
2017-01-10;2;1000;3763
2017-01-11;2;1000;1439
2017-01-12;2;1000;2066
2017-01-13;2;1000;6359
2017-01-14;2;1000;8899
2017-01-15;2;1000;4815
2017-01-16;2;1000;7624
2017-01-17;2;1000;3771
2017-01-18;2;1000;2560
2017-01-19;2;1000;4877
2017-01-20;2;1000;5232
2017-01-21;2;1000;9432
2017-01-22;2;1000;4653
2017-01-23;2;1000;6390
2017-01-24;2;1000;3331
2017-01-25;2;1000;8128
2017-01-26;2;1000;8450
2017-01-27;2;1000;2729
2017-01-28;2;1000;1390
2017-01-29;2;1000;5429
2017-01-30;2;1000;7570
2017-01-01;3;1000;5524
2017-01-02;3;1000;6328
2017-01-03;3;1000;7194
2017-01-04;3;1000;8317
2017-01-05;3;1000;2890
2017-01-06;3;1000;2704
2017-01-07;3;1000;2380
2017-01-08;3;1000;7841
2017-01-09;3;1000;1114
2017-01-10;3;1000;3316
2017-01-11;3;1000;4024
2017-01-12;3;1000;8531
2017-01-13;3;1000;5026
2017-01-14;3;1000;5708
2017-01-15;3;1000;5582
2017-01-16;3;1000;6208
2017-01-17;3;1000;5876
2017-01-18;3;1000;4461
2017-01-19;3;1000;4245
2017-01-20;3;1000;7898
2017-01-21;3;1000;7159
2017-01-22;3;1000;5049
2017-01-23;3;1000;2898
2017-01-24;3;1000;4283
2017-01-25;3;1000;5910
2017-01-26;3;1000;8497
2017-01-27;3;1000;2691
2017-01-28;3;1000;8490
2017-01-29;3;1000;3723
2017-01-30;3;1000;6035
2017-01-01;4;1000;2396
2017-01-02;4;1000;9837
2017-01-03;4;1000;1528
2017-01-04;4;1000;1031
2017-01-05;4;1000;8860
2017-01-06;4;1000;6892
2017-01-07;4;1000;9780
2017-01-08;4;1000;2275
2017-01-09;4;1000;4771
2017-01-10;4;1000;4915
2017-01-11;4;1000;6742
2017-01-12;4;1000;9234
2017-01-13;4;1000;3955
2017-01-14;4;1000;9809
2017-01-15;4;1000;6462
2017-01-16;4;1000;9130
2017-01-17;4;1000;9142
2017-01-18;4;1000;2544
2017-01-19;4;1000;6541
2017-01-20;4;1000;2528
2017-01-21;4;1000;5447
2017-01-22;4;1000;3982
2017-01-23;4;1000;4813
2017-01-24;4;1000;3029
2017-01-25;4;1000;3420
2017-01-26;4;1000;7666
2017-01-27;4;1000;3453
2017-01-28;4;1000;2877
2017-01-29;4;1000;1580
2017-01-30;4;1000;8851
2017-01-01;5;1000;1882
2017-01-02;5;1000;8437
2017-01-03;5;1000;5533
2017-01-04;5;1000;1585
2017-01-05;5;1000;1365
2017-01-06;5;1000;5554
2017-01-07;5;1000;6652
2017-01-08;5;1000;8194
2017-01-09;5;1000;5575
2017-01-10;5;1000;7637
2017-01-11;5;1000;6001
2017-01-12;5;1000;7097
2017-01-13;5;1000;5861
2017-01-14;5;1000;8862
2017-01-15;5;1000;7213
2017-01-16;5;1000;4084
2017-01-17;5;1000;6126
2017-01-18;5;1000;1495
2017-01-19;5;1000;2487
2017-01-20;5;1000;9032
2017-01-21;5;1000;7854
2017-01-22;5;1000;3407
2017-01-23;5;1000;1007
2017-01-24;5;1000;8101
2017-01-25;5;1000;4477
2017-01-26;5;1000;8559
2017-01-27;5;1000;6157
2017-01-28;5;1000;1755
2017-01-29;5;1000;1319
2017-01-30;5;1000;5251
2017-01-01;6;1000;6402
2017-01-02;6;1000;5628
2017-01-03;6;1000;1856
2017-01-04;6;1000;2437
2017-01-05;6;1000;1399
2017-01-06;6;1000;8761
2017-01-07;6;1000;7342
2017-01-08;6;1000;7404
2017-01-09;6;1000;4060
2017-01-10;6;1000;9229
2017-01-11;6;1000;6968
2017-01-12;6;1000;6731
2017-01-13;6;1000;6718
2017-01-14;6;1000;7675
2017-01-15;6;1000;7590
2017-01-16;6;1000;8384
2017-01-17;6;1000;9120
2017-01-18;6;1000;5810
2017-01-19;6;1000;5030
2017-01-20;6;1000;1550
2017-01-21;6;1000;5369
2017-01-22;6;1000;3405
2017-01-23;6;1000;9213
2017-01-24;6;1000;7451
